                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3393,                 3.6642,                 1.4637,                0.29682,                0.39004,                0.34711,                0.22092,                 1.1816,                 1.8932,                 1.3624,             0.00029481,             0.00029481,             0.00029481
                      2,                 1.1233,                 1.5151,                 1.2901,                0.61922,                0.30817,                0.33255,                0.19931,                 1.3598,                 2.0571,                 1.5671,             0.00058597,             0.00058597,             0.00058597
                      3,                 1.0912,                  1.313,                 1.2498,                0.52381,                0.41799,                0.38737,                0.23728,                 1.3653,                 2.5472,                 1.6177,             0.00086514,             0.00086514,             0.00086514
                      4,                 1.0869,                 1.2734,                 1.2475,                0.41815,                0.61608,                0.50437,                0.32954,                 1.2097,                 1.6572,                 1.3971,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0657,                 1.2158,                 1.2289,                0.80473,                0.35913,                0.41834,                0.26878,                 1.1921,                 1.3882,                 1.3662,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0473,                 1.1256,                  1.215,                0.72747,                0.46836,                 0.5247,                0.34402,                 1.0959,                 1.1646,                 1.2955,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.0094,                 1.0748,                 1.1948,                0.59401,                0.53988,                0.59389,                0.40776,                 1.0698,                 1.0552,                 1.2609,             0.00080101,             0.00080101,             0.00080101
                      8,                0.96584,                0.98665,                 1.1538,                0.54463,                0.71811,                0.66211,                0.45751,                 1.0425,                  1.081,                 1.2394,             0.00078301,             0.00078301,             0.00078301
                      9,                0.93529,                 0.9484,                 1.1439,                0.69934,                0.74334,                0.71183,                0.51736,                0.99665,                0.97258,                 1.2149,             0.00076501,             0.00076501,             0.00076501
                     10,                0.91093,                0.91225,                 1.1301,                 0.7285,                0.60573,                0.65887,                0.48529,                0.95616,                 1.0601,                 1.1743,             0.00074702,             0.00074702,             0.00074702
                     11,                0.87117,                0.87606,                 1.1052,                0.75062,                0.62538,                0.71136,                0.53621,                0.93554,                0.92522,                 1.1553,             0.00072902,             0.00072902,             0.00072902
                     12,                0.86219,                0.83063,                 1.1092,                0.74957,                  0.671,                0.72357,                0.51593,                0.94716,                0.88338,                 1.1594,             0.00071102,             0.00071102,             0.00071102
                     13,                0.85003,                0.83339,                 1.0907,                0.74987,                 0.7634,                0.80632,                0.60719,                0.89307,                0.82175,                  1.126,             0.00069302,             0.00069302,             0.00069302
