                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3478,                 3.7215,                 1.4691,                0.56596,                0.38442,                 0.3667,                0.23741,                  1.154,                 1.9558,                 1.2927,             0.00029481,             0.00029481,             0.00029481
                      2,                 1.1327,                 1.5236,                 1.2852,                0.61056,                0.38215,                0.41975,                0.26345,                 1.2576,                 1.5597,                 1.4289,             0.00058597,             0.00058597,             0.00058597
                      3,                 1.0935,                 1.3299,                 1.2631,                0.45115,                0.30764,                 0.3228,                0.21438,                 1.3084,                 2.1851,                   1.47,             0.00086514,             0.00086514,             0.00086514
                      4,                 1.0978,                 1.2919,                 1.2541,                0.65268,                0.41337,                0.45947,                0.29006,                 1.2416,                 1.6394,                 1.4241,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0556,                 1.2194,                 1.2225,                0.43286,                0.55994,                0.48539,                0.32168,                 1.2275,                 1.5354,                  1.417,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0379,                  1.137,                 1.2217,                 0.6379,                0.53526,                0.63586,                0.44317,                  1.092,                 1.2518,                 1.2973,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.0143,                 1.0767,                 1.1986,                0.68906,                0.61821,                0.67164,                0.47917,                 1.0388,                 1.1788,                 1.2613,             0.00080101,             0.00080101,             0.00080101
                      8,                0.96537,                 1.0279,                 1.1533,                0.68039,                0.67597,                 0.7148,                0.52245,                0.95252,                0.97605,                 1.1983,             0.00078301,             0.00078301,             0.00078301
                      9,                0.92357,                0.92046,                 1.1346,                0.64075,                0.81076,                 0.7762,                0.57058,                0.94058,                 0.9881,                 1.1774,             0.00076501,             0.00076501,             0.00076501
                     10,                0.93883,                0.94514,                 1.1535,                0.65062,                 0.6499,                0.69902,                0.51154,                0.98668,                 1.1336,                 1.2342,             0.00074702,             0.00074702,             0.00074702
                     11,                  0.877,                0.86578,                 1.1056,                0.85297,                0.71157,                0.80546,                0.61669,                0.89659,                0.90409,                  1.141,             0.00072902,             0.00072902,             0.00072902
                     12,                0.86936,                0.82542,                 1.1057,                 0.7884,                0.73068,                0.80162,                0.60468,                0.88298,                0.89364,                 1.1309,             0.00071102,             0.00071102,             0.00071102
                     13,                0.85932,                0.80731,                 1.0969,                0.79442,                0.81274,                0.83856,                0.64585,                0.83502,                0.80923,                 1.0984,             0.00069302,             0.00069302,             0.00069302
                     14,                0.84106,                0.79713,                 1.0934,                0.81015,                 0.8076,                0.85813,                0.67496,                0.82149,                0.75054,                 1.0962,             0.00067502,             0.00067502,             0.00067502
                     15,                 0.8153,                0.75943,                 1.0702,                0.85449,                0.74154,                0.84342,                0.67022,                0.80134,                0.74413,                 1.0726,             0.00065703,             0.00065703,             0.00065703
                     16,                0.79947,                0.73856,                 1.0593,                0.84145,                0.74919,                0.85795,                0.67612,                0.77609,                0.68654,                  1.068,             0.00063903,             0.00063903,             0.00063903
                     17,                0.75253,                0.68165,                 1.0391,                0.86156,                0.75214,                0.87576,                0.71003,                0.74936,                 0.6427,                 1.0495,             0.00062103,             0.00062103,             0.00062103
